profile_id,rank,influence,effect_size,band,ai_feasibility,human_irreducibility,substitution_risk,mechanism_conflict,vendor_activity,hypothetical_ai_effect,notes
P42,1,Collective teacher efficacy,1.57,High,AI-RESISTANT,High,High,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI dashboard only; collective trust cannot be automated,Emergent social construct; Bandura's four efficacy channels require physical collaboration and shared professional identity.
P06,2,Self-reported grades,1.33,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈1.10 [HYPOTHESIS]: AI prompts reflection but student must retain metacognitive ownership,AI dashboards can scaffold prediction and tracking; student must do the self-assessment act or mechanism hollows out.
P43,3,Teacher estimates of achievement,1.29,High,AI-AUGMENTED,High,Medium,No conflict,Low,d≈0.90 [HYPOTHESIS]: AI risk-flagging supports but cannot replace teacher's localized judgment,"ML can flag risk trajectories; teacher must synthesize with relational, contextual knowledge of individual students."
P13,4,Cognitive task analysis,1.29,High,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈1.00 [HYPOTHESIS]: AI can map task hierarchies; human expert must validate domain accuracy,LLMs can decompose complex domains into learning progressions; expert teacher validation of accuracy is non-negotiable.
P24,5,Response to intervention,1.29,High,AI-AUGMENTED,Medium,Medium,No conflict,High,d≈0.90 [HYPOTHESIS]: AI tier-tracking is legitimate; physical intervention delivery remains human,AI platforms can continuously monitor and flag tier transitions; targeted instruction must be physically delivered by trained humans.
P13,6,Piagetian programs,1.28,High,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.70 [HYPOTHESIS]: AI can scaffold tasks matched to developmental stage; stage itself is biologically constrained,Cognitive developmental progression is biologically fixed; AI can support stage-matched task design but cannot engineer the developmental shift.
P25,7,Jigsaw method,1.20,High,AI-RESISTANT,High,High,Conflict present,Low,d≈0.30 [HYPOTHESIS]: AI group-composition optimization only; peer teaching exchange must be human,Physical peer-to-peer teaching exchange is the causal mechanism; AI optimizing group composition touches only logistics.
P13,8,Conceptual change programs,0.99,High,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.75 [HYPOTHESIS]: AI misconception detection is legitimate; schema restructuring requires human follow-up,Generative AI can identify misconceptions in student writing and serve contrasting texts; deep schema restructuring benefits from teacher mediation.
P44,9,Prior ability,0.94,High,AI-ADJACENT,Low,Low,No conflict,Low,N/A — not a manipulable intervention,AI catalogs prior ability indicators; cannot alter baseline cognitive capacity.
P26,10,Strategy to integrate with prior knowledge,0.93,High,AI-AUGMENTED,Medium,Low,Partial conflict,High,d≈0.70 [HYPOTHESIS]: AI schema-mapping is promising; analogies must connect to student's actual prior knowledge,AI pre-diagnostic tasks can map active schema; customized analogies require accuracy about what student actually knows.
P06,11,Self-efficacy,0.92,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.50 [HYPOTHESIS]: AI success loops help short-term; long-term efficacy requires trusted adult relationship,AI adaptive micro-scaffolds can foster immediate confidence; durable self-efficacy is built through human encouragement over time.
P25,12,Teacher credibility,0.90,High,AI-RESISTANT,High,High,Conflict present,Low,d≈-0.15 [HYPOTHESIS]: AI proxy degrades credibility; human delivery required,"Student perception of competence, trustworthiness, and goodwill is strictly interpersonal; AI fluency is not teacher credibility."
P24,13,Micro-teaching/video review of lessons,0.88,High,AI-AUGMENTED,Medium,Medium,No conflict,High,d≈0.75 [HYPOTHESIS]: AI video analysis is the legitimate use case; teacher must act on feedback,"AI computer vision can map talk-time, questioning patterns, and engagement; human teacher must interpret and adjust practice."
P06,14,Transfer strategies,0.86,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.60 [HYPOTHESIS]: AI can generate diverse transfer problem sets; teacher must model abstract principles,AI generates near- and far-transfer problem sets; explicit modeling of cross-domain principles requires human instruction.
P45,15,Classroom discussion,0.82,High,AI-AUGMENTED,High,High,Conflict present,Moderate,d≈0.40 [HYPOTHESIS]: AI discourse mapping supports teacher; peer reasoning exchange must be human,Socio-cognitive friction and shared community context require physical peer presence; AI can map participation patterns and flag gaps.
P46,16,Scaffolding,0.82,High,AI-AUGMENTED,Medium,Medium,Partial conflict,High,d≈0.65 [HYPOTHESIS]: AI dynamic scaffolding is legitimate; fading must be explicitly programmed,AI tutoring platforms can adapt hint specificity and difficulty in real-time; systematic fading required to prevent permanent dependency.
P47,17,Deliberate practice,0.79,High,AI-AUGMENTED,Medium,Medium,Partial conflict,Low,d≈0.60 [HYPOTHESIS]: AI difficulty calibration is useful; expert feedback on specific error pattern requires human,Ericsson-model deliberate practice requires expert diagnosis of specific errors; AI handles adaptive difficulty but not expert qualitative feedback.
P48,18,Summarization,0.79,High,AI-NATIVE,Low,High,Conflict present,Low,d≈0.40 [HYPOTHESIS]: AI summarization delivery only if student does the summarizing,"Critical mechanism conflict: if AI summarizes for the student, student does not build the capacity. AI must evaluate student summaries, not produce them."
P27,19,Effort,0.77,High,AI-AUGMENTED,High,Low,No conflict,Low,d≈0.40 [HYPOTHESIS]: AI engagement monitoring supports; authentic persistence is human-mediated,AI disengagement detection and micro-incentives support effort; sustained academic persistence mediated by teacher relationships.
P49,20,Interventions for students with learning needs,0.77,High,AI-AUGMENTED,Medium,Medium,No conflict,Moderate,d≈0.55 [HYPOTHESIS]: AI assistive tools are legitimate augmentation; specialized physical therapy remains human,"AI-driven assistive software (TTS, interface adaptation) is legitimate; specialized physical and cognitive therapy requires trained human educators."
P28,21,Mnemonics,0.76,High,AI-NATIVE,Low,Low,No conflict,Low,d≈0.70 [HYPOTHESIS]: AI mnemonic generation at scale is genuinely AI-native,Procedural enough for full AI delivery; generative AI can produce personalized acronyms and retrieval associations at scale.
P26,22,Planning and prediction,0.76,High,AI-AUGMENTED,Medium,Low,Partial conflict,High,d≈0.55 [HYPOTHESIS]: AI platforms can require predictions before tasks; self-regulation act must be student's,AI can structure prediction prompts; mechanism conflict if AI does the planning for the student rather than requiring student to plan.
P51,23,Repeated reading programs,0.75,High,AI-NATIVE,Low,High,No conflict,Low,d≈0.65 [HYPOTHESIS]: AI voice recognition for fluency tracking is genuinely AI-native,AI real-time oral reading evaluation and word-level intervention is a legitimate AI-native implementation.
P50,24,Teacher clarity,0.75,High,AI-AUGMENTED,High,Medium,No conflict,Moderate,d≈0.60 [HYPOTHESIS]: AI can help draft clear learning goals; verbal delivery and live checking must be human,Generative AI assists in standardizing learning goals and logical sequences; classroom verbal delivery and active-listening checks remain human.
P06,25,Elaboration and organization,0.75,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.55 [HYPOTHESIS]: AI Socratic prompts support; student must do the elaborating,"Mechanism conflict risk: AI must force student verbal elaboration, not produce elaboration on student's behalf."
P06,26,Evaluation and reflection,0.75,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.55 [HYPOTHESIS]: AI reflection prompts are useful scaffolds; internalization requires human guidance,AI prompt systems generate self-evaluation questions; deep metacognitive internalization of error requires teacher-guided think-alouds.
P06,27,Reciprocal teaching,0.74,High,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.50 [HYPOTHESIS]: AI can model four strategies; social peer-teaching structure is human-centric,AI avatars can model predict/clarify/question/summarize; the peer-teaching social exchange requires physical human presence.
P28,28,Rehearsal and memorization,0.73,High,AI-NATIVE,Low,Low,No conflict,Low,d≈0.65 [HYPOTHESIS]: Spaced repetition automation is genuinely AI-native,Procedural; AI flashcard and spacing platforms automate retrieval loops based on forgetting curve mathematics effectively.
P27,29,Comprehensive instructional programs for teachers,0.72,High,AI-AUGMENTED,High,Low,No conflict,Low,d≈0.55 [HYPOTHESIS]: AI can support PD logistics and content; human coaching and reflection remain essential,AI can scaffold PD content delivery and resource curation; teacher learning through peer observation and coaching is human-dependent.
P13,30,Help seeking,0.72,High,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.50 [HYPOTHESIS]: AI can lower threshold for help-seeking; psychological safety requires human relationship,"AI can reduce friction of seeking help (anonymous questions, peer matching); the interpersonal safety required depends on human classroom climate."
P52,31,Phonics instruction,0.70,High,AI-AUGMENTED,Medium,High,No conflict,Low,d≈0.60 [HYPOTHESIS]: AI voice recognition for phonics is legitimate augmentation; human decoding instruction remains anchor,AI voice recognition assesses phonemic awareness effectively; structured human instruction in grapheme-phoneme mapping remains the pedagogical anchor.
P53,32,Feedback,0.70,High,AI-AUGMENTED,Medium,High,Partial conflict,High,d≈0.50 [HYPOTHESIS]: AI fast task-level feedback is legitimate; relational and self-regulation feedback must be human,Most-cited EdTech claim. Mechanism conflict: AI feedback can enable system-gaming (clicking hints for answers). One-third of feedback studies show negative effects. Vendor claims routinely strip this caveat.
P29,33,Deep motivation and approach,0.69,Above hinge,AI-AUGMENTED,High,Low,No conflict,Low,d≈0.35 [HYPOTHESIS]: AI gamification supports short-term focus; deep motivational orientation requires human mentorship,Deep motivational orientation stems from interpersonal academic identity formation; AI gamification handles surface engagement only.
P03,34,Field independence,0.68,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.30 [HYPOTHESIS]: AI task design can target field-independent demands; underlying cognitive trait is not malleable by AI,AI can design tasks that practice field-independent processing; cannot directly alter the underlying cognitive style.
P03,35,Acceleration programs,0.68,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.55 [HYPOTHESIS]: AI curriculum pacing is legitimate; human mentorship for gifted students remains important,AI can path gifted students through advanced curricula; human mentorship for advanced learners addresses social-emotional needs AI cannot.
P54,36,Learning goals vs. no goals,0.68,Above hinge,AI-AUGMENTED,Low,Low,Partial conflict,Moderate,d≈0.50 [HYPOTHESIS]: AI goal-setting prompts are useful; accountability requires teacher enforcement,AI onboarding engines can prompt explicit goal formulation; mechanism conflict if AI sets goals for student rather than requiring student to formulate them.
P31,37,Problem-solving teaching,0.68,Above hinge,AI-AUGMENTED,High,Low,Partial conflict,Low,d≈0.45 [HYPOTHESIS]: AI can co-design problem scenarios; heuristic modeling and error processing must be human-guided,Rich problem-solving scenarios can be AI-generated; group facilitation and modeling of problem-solving heuristics requires human teacher.
P04,38,Outlining and transforming,0.66,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.45 [HYPOTHESIS]: AI NLP evaluation of outlines is useful; student must do the transforming,"Mechanism conflict: AI must evaluate student-produced outlines, not generate outlines for students."
P55,39,Concept mapping,0.64,Above hinge,AI-AUGMENTED,Medium,Medium,Partial conflict,Low,d≈0.45 [HYPOTHESIS]: AI mapping tools are useful scaffolds; student must construct the map,AI can visualize conceptual hierarchies from student text; student must do the conceptual construction or mechanism is bypassed.
P14,40,Vocabulary programs,0.62,Above hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.55 [HYPOTHESIS]: Spaced retrieval vocabulary at scale is genuinely AI-native,AI vocabulary engines deploying spaced retrieval and contextual sentence-building are a legitimate AI-native implementation.
P04,41,Creativity programs,0.62,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.35 [HYPOTHESIS]: AI divergent prompts support; collaborative evaluation requires human facilitators,AI provides diverse divergent-thinking prompts; subjective elaboration and collaborative creative evaluation require human facilitation.
P20,42,Behavioral intervention programs,0.62,Above hinge,AI-RESISTANT,High,High,Conflict present,Moderate,d≈0.10 [HYPOTHESIS]: AI monitoring only; direct behavior modification requires human relationship,"Behavior modification requires physical presence, relational authority, and embodied social judgment; AI monitoring is peripheral."
P04,43,Setting standards for self-judgement,0.62,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.45 [HYPOTHESIS]: AI rubric co-construction is useful; self-appraisal requires human validation,AI can co-construct rubrics from historical baselines; student self-appraisal accuracy requires human calibration and validation.
P29,44,Teachers not labeling students,0.61,Above hinge,AI-AUGMENTED,High,Low,No conflict,Low,d≈0.40 [HYPOTHESIS]: AI anonymization of grading reduces bias; conscious relationship-building remains human,AI blind grading can reduce expectation bias in assessment; teacher's ongoing cultivation of open-minded relationships is irreducibly human.
P03,45,Relations of high school to university achievement,0.60,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.40 [HYPOTHESIS]: AI transition scaffolding is useful; human advising for individual pathways remains important,AI can map academic readiness indicators; human advising for individual transition decisions requires contextual judgment.
P56,46,Meta-cognitive strategies,0.60,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,High,d≈0.40 [HYPOTHESIS]: AI prompts are useful scaffolds only if systematically faded,"Critical mechanism conflict: perpetual AI Socratic prompting creates cognitive dependency. Without systematic fading, AI acts as external regulator, hollowing out independent metacognitive capacity."
P03,47,Spaced vs. mass practice,0.60,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.55 [HYPOTHESIS]: AI scheduling of spaced practice is a legitimate use case,AI can automate optimal spacing intervals; human teacher must ensure alignment to curriculum sequence and assess transfer.
P10,48,Direct instruction,0.60,Above hinge,AI-AUGMENTED,Medium,Medium,No conflict,Low,d≈0.45 [HYPOTHESIS]: AI can generate structured worked examples; live lesson delivery and comprehension checking must be human,Highly structured AI worked examples and practice items are legitimate; teacher orchestration of active-listening checks and live instruction is essential.
P15,49,Mathematics programs,0.59,Above hinge,AI-AUGMENTED,Medium,High,No conflict,Low,d≈0.45 [HYPOTHESIS]: AI adaptive math practice is legitimate augmentation; conceptual instruction remains human,AI adaptive math practice platforms are a legitimate augmentation; conceptual modeling and misconception remediation require human teacher.
P04,50,Appropriately challenging goals,0.59,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.45 [HYPOTHESIS]: AI challenge calibration is useful; goal ownership must remain with student,AI can calibrate task difficulty to zone of proximal development; mechanism conflict if AI sets goals rather than supporting student to set them.
P30,51,Spelling programs,0.58,Above hinge,AI-NATIVE,Low,Low,No conflict,Low,d≈0.50 [HYPOTHESIS]: Automated spelling practice with error tracking is genuinely AI-native,Procedural; AI can deliver adaptive spelling retrieval with immediate corrective feedback at scale.
P09,52,Tactile stimulation programs,0.58,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Physical sensory stimulation cannot be AI-mediated,Embodied physical stimulation is the causal mechanism; AI has no role in the core intervention.
P57,53,Strategy monitoring,0.58,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Moderate,d≈0.40 [HYPOTHESIS]: AI can prompt strategy monitoring; student must do the monitoring,"Mechanism conflict risk: AI must scaffold student self-monitoring, not monitor for the student."
P09,54,Service learning,0.58,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,d≈0.10 [HYPOTHESIS]: Physical community engagement is the causal mechanism,Embodied civic action and community relationship-building cannot be replicated by AI; mechanism is entirely human and contextual.
P07,55,Working memory strength,0.57,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,"N/A — cognitive trait, not manipulable intervention",AI may track working memory demands of tasks; cannot alter underlying working memory capacity.
P07,56,Full compared to pre-term/low birth weight,0.57,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,"N/A — biological/developmental variable, not an intervention",Not a manipulable intervention; AI has no role in the causal mechanism.
P32,57,Mastery learning,0.57,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,High,d≈0.50 [HYPOTHESIS]: AI mastery gating is legitimate; teacher must validate transfer and unstick stuck students,Software-defined mastery often assesses procedural retrieval only. Deep conceptual transfer and self-pacing accountability require human oversight. Vendor claims of 100% mastery are unsupported.
P10,58,Explicit teaching strategies,0.57,Above hinge,AI-AUGMENTED,Medium,Medium,No conflict,Low,d≈0.45 [HYPOTHESIS]: AI can generate explicit strategy instruction materials; live delivery and checking remain human,AI can structure explicit strategy sequences; teacher delivery of modeling and guided practice is the human layer.
P14,59,Technology with learning needs students,0.57,Above hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.50 [HYPOTHESIS]: AI assistive technology is a legitimate AI-native zone for this population,Strongest legitimate AI-native case in the dataset for specific learning needs; specialized human educator oversight still required.
P03,60,Concentration/persistence/engagement,0.56,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.35 [HYPOTHESIS]: AI engagement monitoring is useful; authentic persistence is human-mediated,AI disengagement detection triggers micro-interventions; sustained concentration and persistence require teacher relationship and task design.
P07,61,Prior achievement,0.55,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,"N/A — background variable, not a manipulable intervention",AI tracks prior achievement indicators; cannot alter the underlying achievement baseline.
P03,62,Visual-perception programs,0.55,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.40 [HYPOTHESIS]: AI visual task adaptation is useful; specialist human assessment required for diagnosis,AI can adapt visual complexity of materials; clinical diagnosis and specialist intervention require human professionals.
P21,63,Self-verbalization and self-questioning,0.55,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Moderate,d≈0.40 [HYPOTHESIS]: AI prompts can scaffold self-verbalization; student must produce the internal dialogue,"Mechanism conflict: AI must require student to verbalize, not provide the verbalization for them."
P20,64,Cooperative vs. individualistic learning,0.55,Above hinge,AI-RESISTANT,High,High,Conflict present,Moderate,d≈0.10 [HYPOTHESIS]: Cooperative dynamic requires physical peer interdependence,Social interdependence theory requires genuine human peer collaboration; AI cannot replicate group accountability and shared social stakes.
P14,65,Technology in other subjects,0.55,Above hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.40 [HYPOTHESIS]: AI content delivery in non-core subjects is a legitimate use case,Reasonable AI-native zone for procedural and content-delivery tasks in non-core subjects; teacher curriculum alignment required.
P33,66,Practice testing,0.54,Above hinge,AI-NATIVE,Low,High,Partial conflict,Low,d≈0.50 [HYPOTHESIS]: AI automated micro-quizzing is genuinely AI-native; answer-reveal timing is critical design variable,Mechanism conflict risk: immediate answer reveal after wrong response bypasses necessary retrieval effort. AI must require retrieval before providing correct answer.
P30,67,Interactive video methods,0.54,Above hinge,AI-NATIVE,Low,Low,No conflict,Low,d≈0.45 [HYPOTHESIS]: AI-enhanced interactive video with embedded questions is AI-native,Procedural; AI can embed adaptive questioning and branching within video content effectively.
P03,68,Second/third chance programs,0.53,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.40 [HYPOTHESIS]: AI can structure re-attempt pathways; human accountability for engagement remains important,AI can design structured re-attempt workflows; human teacher must maintain accountability for genuine re-engagement rather than procedural repetition.
P03,69,Enrichment programs,0.53,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.40 [HYPOTHESIS]: AI content curation for enrichment is useful; mentorship and depth require human,AI can curate enrichment resources and adaptive challenge; depth of intellectual mentorship requires human expert relationship.
P09,70,Positive peer influences,0.53,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Peer influence is a social-contextual mechanism AI cannot replicate,"Social norm transmission, peer modeling, and belonging are embedded in physical peer community; AI cannot substitute."
P16,71,Peer tutoring,0.53,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,d≈0.10 [HYPOTHESIS]: Peer teaching exchange requires physical human presence,"Social-emotional teaching exchange, the act of one student teaching another, is the mechanism; AI monitoring of pairs is peripheral."
P16,72,Cooperative vs. competitive learning,0.53,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,d≈0.10 [HYPOTHESIS]: Cooperative social dynamic requires physical human interdependence,Social interdependence and group accountability require physical human presence; AI cannot replicate genuine cooperative stakes.
P09,73,Positive family/home dynamics,0.52,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Family relational dynamics are not AI-addressable,"Embodied family relationships, warmth, stability, and shared routines are the mechanism; AI has no meaningful role in the causal chain."
P07,74,Socio-economic status,0.52,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,"N/A — structural variable, not a manipulable intervention",AI cannot alter household income or socioeconomic barriers; at best AI can optimize resource allocation within existing constraints.
P20,75,Teacher-student relationships,0.52,Above hinge,AI-RESISTANT,High,High,Conflict present,Moderate,d≈0.05 [HYPOTHESIS]: AI administrative support only; face-to-face relationship time is the mechanism,"Empathetic, trusting interpersonal connection is the causal mechanism. AI automating grading can free teacher time for relationships; AI cannot be the relationship."
P21,76,Self-regulation strategies,0.52,Above hinge,AI-AUGMENTED,Medium,High,Partial conflict,Moderate,d≈0.40 [HYPOTHESIS]: AI can scaffold self-regulation prompts; systematic fading required,Mechanism conflict: perpetual AI scaffolding of self-regulation prevents student from internalizing the regulatory capacity.
P03,77,Record keeping,0.52,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.45 [HYPOTHESIS]: AI record-keeping automation is a legitimate use case,"Procedural logistics; AI can automate record-keeping and surface patterns, freeing teacher time for interpretation and action."
P09,78,Play programs,0.50,Above hinge,AI-RESISTANT,High,High,Conflict present,Low,"d≈0.05 [HYPOTHESIS]: Physical, embodied, unstructured play is the mechanism","Embodied physical play, social negotiation, and intrinsic exploration cannot be replicated by AI-mediated interaction."
P60,79,Parental involvement,0.50,Above hinge,AI-RESISTANT,High,Medium,Partial conflict,Low,d≈0.15 [HYPOTHESIS]: AI communication tools reduce friction; actual parental engagement is human,AI portals can streamline school-home communication; parental academic encouragement and home learning support are irreducibly human.
P03,80,Student rating of quality of teaching,0.50,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.35 [HYPOTHESIS]: AI can aggregate and pattern student feedback; teacher interpretation and response must be human,AI can systematize student feedback collection and surface patterns; teacher must interpret and act on feedback meaningfully.
P58,81,Note taking,0.50,Above hinge,AI-AUGMENTED,Medium,High,Conflict present,Low,d≈0.30 [HYPOTHESIS]: Student must take the notes; AI transcription bypasses the mechanism entirely,Critical mechanism conflict: AI note-taking (transcription) removes the encoding process that generates the learning benefit. Student must produce the notes.
